,STATUS,PRICE,BED,BATH,ACRE LOT,FULL ADDRESS,STREET,CITY,STATE,HOUSE SIZE,ZIP
582301,for_sale,1544995.0,4.0,4.0,3.0,"10 Noble Ct, Colts Neck, NJ, 07722",10 Noble Ct,Colts Neck,New Jersey,4932.0,07722
582325,for_sale,500000.0,3.0,2.0,0.06,"9 Waterside Pkwy, Staten Island, NY, 10308",9 Waterside Pkwy,Staten Island,New York,1260.0,10308
582333,for_sale,599000.0,3.0,3.0,0.05,"245 Doane Ave, Staten Island, NY, 10308",245 Doane Ave,Staten Island,New York,1392.0,10308
582376,for_sale,549999.0,3.0,2.0,0.07,"64 Boylan St, Staten Island, NY, 10312",64 Boylan St,Staten Island,New York,1420.0,10312
582386,for_sale,868000.0,3.0,2.0,0.28,"243 Ridgecrest Ave, Staten Island, NY, 10312",243 Ridgecrest Ave,Staten Island,New York,800.0,10312
582416,for_sale,679000.0,3.0,2.0,0.09,"56 Case Ave, Staten Island, NY, 10309",56 Case Ave,Staten Island,New York,1880.0,10309
582420,for_sale,675000.0,6.0,4.0,0.05,"3744 Hylan Blvd, Staten Island, NY, 10308",3744 Hylan Blvd,Staten Island,New York,1950.0,10308
582425,for_sale,638000.0,3.0,2.0,0.12,"163 Hillcrest St, Staten Island, NY, 10308",163 Hillcrest St,Staten Island,New York,1296.0,10308
582446,for_sale,439000.0,3.0,2.0,0.05,"346 Cleveland Ave, Staten Island, NY, 10308",346 Cleveland Ave,Staten Island,New York,1170.0,10308
582459,for_sale,1450000.0,4.0,4.0,0.14,"9 Tucci Ct, Staten Island, NY, 10307",9 Tucci Ct,Staten Island,New York,3069.0,10307
582461,for_sale,819000.0,5.0,4.0,0.1,"780 Stafford Ave, Staten Island, NY, 10309",780 Stafford Ave,Staten Island,New York,2736.0,10309
582466,for_sale,929000.0,5.0,4.0,0.16,"39 Woodrose Ln, Staten Island, NY, 10309",39 Woodrose Ln,Staten Island,New York,2262.0,10309
582473,for_sale,1100000.0,3.0,3.0,0.17,"540 Woodland Ave, Brielle, NJ, 08730",540 Woodland Ave,Brielle,New Jersey,2624.0,08730
582506,for_sale,495000.0,3.0,2.0,0.1,"50 Charles St, Metuchen, NJ, 08840",50 Charles St,Metuchen,New Jersey,1470.0,08840
582520,for_sale,698000.0,3.0,2.0,0.1,"418 Robinson Ave, Staten Island, NY, 10312",418 Robinson Ave,Staten Island,New York,1800.0,10312
582521,for_sale,704900.0,3.0,3.0,0.2,"32 McCormick Ave N, Old Bridge, NJ, 08857",32 McCormick Ave N,Old Bridge,New Jersey,2460.0,08857
582523,for_sale,700000.0,6.0,2.0,0.1,"4664 Amboy Rd, Staten Island, NY, 10312",4664 Amboy Rd,Staten Island,New York,1550.0,10312
582525,for_sale,1199000.0,4.0,4.0,0.1,"27 Bruno Ln, Staten Island, NY, 10307",27 Bruno Ln,Staten Island,New York,3718.0,10307
582561,for_sale,639900.0,3.0,3.0,0.07,"170 Camden Ave, Staten Island, NY, 10309",170 Camden Ave,Staten Island,New York,1500.0,10309
582565,for_sale,599900.0,3.0,1.0,0.05,"23 Blueberry Ln, Staten Island, NY, 10312",23 Blueberry Ln,Staten Island,New York,1260.0,10312
582568,for_sale,948000.0,4.0,4.0,0.11,"3423 Richmond Ave, Staten Island, NY, 10312",3423 Richmond Ave,Staten Island,New York,2400.0,10312
582571,for_sale,599900.0,3.0,3.0,0.11,"383 Woodrow Rd, Staten Island, NY, 10312",383 Woodrow Rd,Staten Island,New York,1366.0,10312
582575,for_sale,1100000.0,3.0,4.0,0.09,"197 Mason Blvd, Staten Island, NY, 10309",197 Mason Blvd,Staten Island,New York,3346.0,10309
582613,for_sale,649000.0,3.0,2.0,0.28,"6508 Amboy Rd, Staten Island, NY, 10309",6508 Amboy Rd,Staten Island,New York,2075.0,10309
582620,for_sale,1000000.0,4.0,1.0,0.13,"36 Mosely Ave, Staten Island, NY, 10312",36 Mosely Ave,Staten Island,New York,859.0,10312
582636,for_sale,519000.0,3.0,2.0,0.03,"117 Lorraine Loop, Staten Island, NY, 10309",117 Lorraine Loop,Staten Island,New York,1642.0,10309
582643,for_sale,549000.0,3.0,2.0,0.08,"61 Westfield Ave, Staten Island, NY, 10309",61 Westfield Ave,Staten Island,New York,2108.0,10309
582659,for_sale,559000.0,2.0,1.0,0.13,"94 Sprague Ave, Staten Island, NY, 10307",94 Sprague Ave,Staten Island,New York,1121.0,10307
582700,for_sale,329000.0,2.0,1.0,0.1,"43 Purdy Pl, Staten Island, NY, 10309",43 Purdy Pl,Staten Island,New York,912.0,10309
582712,for_sale,469900.0,4.0,2.0,0.15,"74 Glenwood Ter, Fords, NJ, 08863",74 Glenwood Ter,Fords,New Jersey,1800.0,08863
582725,for_sale,599900.0,4.0,3.0,0.2,"7 Beechwood Ter, Matawan, NJ, 07747",7 Beechwood Ter,Matawan,New Jersey,2220.0,07747
582728,for_sale,1529000.0,3.0,3.0,0.64,"1101 Shore Dr, Brielle, NJ, 08730",1101 Shore Dr,Brielle,New Jersey,4500.0,08730
582750,for_sale,419000.0,3.0,3.0,0.05,"217 Silver Ln, Old Bridge, NJ, 08857",217 Silver Ln,Old Bridge,New Jersey,1661.0,08857
582767,for_sale,544900.0,3.0,3.0,0.09,"43 Sunset Ave, Old Bridge, NJ, 08879",43 Sunset Ave,Old Bridge,New Jersey,1750.0,08879
582771,for_sale,569000.0,5.0,4.0,0.34,"64 Lower Main St, Aberdeen, NJ, 07747",64 Lower Main St,Aberdeen,New Jersey,2564.0,07747
582772,for_sale,1250000.0,7.0,5.0,0.16,"129-131 Main St, Matawan, NJ, 07747",129-131 Main St,Matawan,New Jersey,4497.0,07747
